test_id,repetition,function,sample_n,sampler,feature,value
596,4,20,100,"Latin Hypercube (nn)",sss.mean.1,0.621294719310393
596,4,20,100,"Latin Hypercube (nn)",sss.cov.0,0.0014824057603804
596,4,20,100,"Latin Hypercube (nn)",sss.cov.1,1.0e-06
597,4,21,100,"Latin Hypercube (nn)",sss.mean,0.0484032286415832
597,4,21,100,"Latin Hypercube (nn)",sss.std,0.0532451372075276
597,4,21,100,"Latin Hypercube (nn)",sss.max,0.43251176618884
597,4,21,100,"Latin Hypercube (nn)",sss.skew,12.2869172895725
597,4,21,100,"Latin Hypercube (nn)",sss.skew_p,1.06489996795974e-34
597,4,21,100,"Latin Hypercube (nn)",sss.weight.0,0.914802863632077
597,4,21,100,"Latin Hypercube (nn)",sss.weight.1,0.0851971363679227
597,4,21,100,"Latin Hypercube (nn)",sss.mean.0,0.036757943960965
597,4,21,100,"Latin Hypercube (nn)",sss.mean.1,0.173444283162886
597,4,21,100,"Latin Hypercube (nn)",sss.cov.0,0.000325413995111966
597,4,21,100,"Latin Hypercube (nn)",sss.cov.1,0.0127024962472359
598,4,22,100,"Latin Hypercube (nn)",sss.mean,0.0479401867832372
598,4,22,100,"Latin Hypercube (nn)",sss.std,0.0433215158661581
598,4,22,100,"Latin Hypercube (nn)",sss.max,0.403367774893792
598,4,22,100,"Latin Hypercube (nn)",sss.skew,11.6940970053605
598,4,22,100,"Latin Hypercube (nn)",sss.skew_p,1.36632758183502e-31
598,4,22,100,"Latin Hypercube (nn)",sss.weight.0,0.916553910937309
598,4,22,100,"Latin Hypercube (nn)",sss.weight.1,0.083446089062691
598,4,22,100,"Latin Hypercube (nn)",sss.mean.0,0.0384484272116894
598,4,22,100,"Latin Hypercube (nn)",sss.mean.1,0.15219563427872
598,4,22,100,"Latin Hypercube (nn)",sss.cov.0,0.000319324628879394
598,4,22,100,"Latin Hypercube (nn)",sss.cov.1,0.0071364382024559
599,4,23,100,"Latin Hypercube (nn)",sss.mean,0.048693930433036
599,4,23,100,"Latin Hypercube (nn)",sss.std,0.0583120673535746
599,4,23,100,"Latin Hypercube (nn)",sss.max,0.71079471588611
599,4,23,100,"Latin Hypercube (nn)",sss.skew,14.9777752678534
599,4,23,100,"Latin Hypercube (nn)",sss.skew_p,1.02594160493545e-50
599,4,23,100,"Latin Hypercube (nn)",sss.weight.0,0.994974874371859
599,4,23,100,"Latin Hypercube (nn)",sss.weight.1,0.00502512562814072
599,4,23,100,"Latin Hypercube (nn)",sss.mean.0,0.0453499870721619
599,4,23,100,"Latin Hypercube (nn)",sss.mean.1,0.710794715886108
599,4,23,100,"Latin Hypercube (nn)",sss.cov.0,0.00119326093427876
599,4,23,100,"Latin Hypercube (nn)",sss.cov.1,1.0e-06
600,4,24,100,"Latin Hypercube (nn)",sss.mean,0.0453821880502112
600,4,24,100,"Latin Hypercube (nn)",sss.std,0.0413601562096231
600,4,24,100,"Latin Hypercube (nn)",sss.max,0.296958527413602
600,4,24,100,"Latin Hypercube (nn)",sss.skew,10.647063694029
600,4,24,100,"Latin Hypercube (nn)",sss.skew_p,1.79951896081516e-26
600,4,24,100,"Latin Hypercube (nn)",sss.weight.0,0.911709561752633
600,4,24,100,"Latin Hypercube (nn)",sss.weight.1,0.0882904382473674
600,4,24,100,"Latin Hypercube (nn)",sss.mean.0,0.0363736841555821
600,4,24,100,"Latin Hypercube (nn)",sss.mean.1,0.138406294633622
600,4,24,100,"Latin Hypercube (nn)",sss.cov.0,0.000392517103092835
600,4,24,100,"Latin Hypercube (nn)",sss.cov.1,0.00584200180032033
601,4,1,100,"Latin Hypercube (rnd)",sss.mean,0.363951152567613
601,4,1,100,"Latin Hypercube (rnd)",sss.std,0.182394854192086
601,4,1,100,"Latin Hypercube (rnd)",sss.max,0.801715098676015
601,4,1,100,"Latin Hypercube (rnd)",sss.skew,1.59402203980292
601,4,1,100,"Latin Hypercube (rnd)",sss.skew_p,0.110931098570602
601,4,1,100,"Latin Hypercube (rnd)",sss.weight.0,0.536020684383808
601,4,1,100,"Latin Hypercube (rnd)",sss.weight.1,0.463979315616192
601,4,1,100,"Latin Hypercube (rnd)",sss.mean.0,0.234083467027498
601,4,1,100,"Latin Hypercube (rnd)",sss.mean.1,0.513983197832617
601,4,1,100,"Latin Hypercube (rnd)",sss.cov.0,0.011336704444282
601,4,1,100,"Latin Hypercube (rnd)",sss.cov.1,0.0166125084158524
602,4,2,100,"Latin Hypercube (rnd)",sss.mean,0.377991777225652
602,4,2,100,"Latin Hypercube (rnd)",sss.std,0.17447486168266
602,4,2,100,"Latin Hypercube (rnd)",sss.max,0.79092341367545
602,4,2,100,"Latin Hypercube (rnd)",sss.skew,1.70882587082584
602,4,2,100,"Latin Hypercube (rnd)",sss.skew_p,0.0874832090363705
602,4,2,100,"Latin Hypercube (rnd)",sss.weight.0,0.302748158110305
602,4,2,100,"Latin Hypercube (rnd)",sss.weight.1,0.697251841889695
602,4,2,100,"Latin Hypercube (rnd)",sss.mean.0,0.584025465459422
602,4,2,100,"Latin Hypercube (rnd)",sss.mean.1,0.288531533632184
602,4,2,100,"Latin Hypercube (rnd)",sss.cov.0,0.0103693834158611
602,4,2,100,"Latin Hypercube (rnd)",sss.cov.1,0.0127232961728646
603,4,3,100,"Latin Hypercube (rnd)",sss.mean,0.367067526124739
