test_id,function,dimensions,sample_n,sampler,feature,value,n
127,7,5,316,Latin Hypercube (hc),t.ic.calculate,1.2303810999983398,1580
128,8,5,316,Latin Hypercube (hc),t.generation,0.00046329999895533547,1580
128,8,5,316,Latin Hypercube (hc),t.ic.calculate,1.382692600000155,1580
129,9,5,316,Latin Hypercube (hc),t.generation,0.0005233999982010573,1580
129,9,5,316,Latin Hypercube (hc),t.ic.calculate,1.4467633000022033,1580
130,10,5,316,Latin Hypercube (hc),t.generation,0.0004607999981089961,1580
130,10,5,316,Latin Hypercube (hc),t.ic.calculate,1.5622680000014952,1580
131,11,5,316,Latin Hypercube (hc),t.generation,0.0004399999997986015,1580
131,11,5,316,Latin Hypercube (hc),t.ic.calculate,1.5663499000002048,1580
132,12,5,316,Latin Hypercube (hc),t.generation,0.000527299998793751,1580
132,12,5,316,Latin Hypercube (hc),t.ic.calculate,1.6668738999978814,1580
133,13,5,316,Latin Hypercube (hc),t.generation,0.0005141999972693156,1580
133,13,5,316,Latin Hypercube (hc),t.ic.calculate,1.2272217999998247,1580
134,14,5,316,Latin Hypercube (hc),t.generation,0.0004398000019136816,1580
134,14,5,316,Latin Hypercube (hc),t.ic.calculate,1.1601510000000417,1580
135,15,5,316,Latin Hypercube (hc),t.generation,0.0004971999987901654,1580
135,15,5,316,Latin Hypercube (hc),t.ic.calculate,1.222456700001203,1580
136,16,5,316,Latin Hypercube (hc),t.generation,0.0005035999965912197,1580
136,16,5,316,Latin Hypercube (hc),t.ic.calculate,1.166423800001212,1580
137,17,5,316,Latin Hypercube (hc),t.generation,0.0005369999998947605,1580
137,17,5,316,Latin Hypercube (hc),t.ic.calculate,1.132484800000384,1580
138,18,5,316,Latin Hypercube (hc),t.generation,0.00043759999971371144,1580
138,18,5,316,Latin Hypercube (hc),t.ic.calculate,1.1892745999975887,1580
139,19,5,316,Latin Hypercube (hc),t.generation,0.0005820000005769543,1580
139,19,5,316,Latin Hypercube (hc),t.ic.calculate,1.1707086999995227,1580
140,20,5,316,Latin Hypercube (hc),t.generation,0.0005216999998083338,1580
140,20,5,316,Latin Hypercube (hc),t.ic.calculate,1.3840874999987136,1580
141,21,5,316,Latin Hypercube (hc),t.generation,0.0005033999987062998,1580
141,21,5,316,Latin Hypercube (hc),t.ic.calculate,1.1170743000002403,1580
142,22,5,316,Latin Hypercube (hc),t.generation,0.0005061000010755379,1580
142,22,5,316,Latin Hypercube (hc),t.ic.calculate,1.087301400002616,1580
